UNIQUEID,GRANTEEID,MODE,LtCallDt,LtCallST,CallDurS,CallDurM,TotalTime,LtCallR,LtCaseR,Date,HOUSEHOLD,HEALTHCARE,HEALTHCARE2,Q1,Q1 Num,Q2,Q2A,Q3_1,Q3_1B,Q3_2,Q3_2B,Q3_3A,Q3_3A2,Q3_3B,Q3_3B2,Q3_3C,Q3_3C2,Q3_3D,Q3_3D2,Q3_3E,Q3_3E2,Q3_3F,Q3_3F2,Q3_3G,Q3_3G2,Q3_3H,Q3_3H2,Q4_A,Q4_A2,Q4_B,Q4_B2,Q4_C,Q4_C2,Q4_D,Q4_D2,Q4_E,Q4_E2,Q4,Q5,Q6,Q7,Q8,EXPERIENCE,Q9,Q10,Q11A,Q11,Q13,Q14,Q15,Q16,INT99,Q12,INT
,19-WA-079,IVR,20211214,18:11,0,0,0,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,1,No,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,
,20-ZZ-301,Online,20211103,10:17,938,16,1017,,,12/31/2021,1,No,Valid skip,Above Average,4,Yes,No,No,Valid skip,Yes,Above Average,Yes,Excellent,Yes,Average,Yes,Average,Yes,Below Average,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Average,Yes,Excellent,Yes,Above Average,Yes,Excellent,Yes,Excellent,Yes,Above Average,1,Yes,Satisfied,Very Satisfied,Very Satisfied,Negative comments only,,,No,,Choose not to respond,Choose not to respond,Heterosexual or straight,I choose not to respond,,,'CO': Completed
,18-FL-023,Online,20211208,12:00,297,5,330,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,2,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-VA-144,Online,20211102,20:57,277,5,278,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,1,Yes,Very Dissatisfied,Very Satisfied,Very Dissatisfied,Positive comments only,,,No,,"Black, African-American, or African",Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,14-AZ-157,Online,20211215,17:46,377,6,384,,,12/31/2021,1,No,Valid skip,Extremely Poor,1,No,Valid skip,Yes,I did not receive case management,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,Extremely Poor,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,0,Yes,Very Satisfied,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Decline to provide comments,,,No,,Choose not to respond,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,20-CO-020,Online,20211201,14:58,879,15,879,,,12/31/2021,2,Yes,Yes,Average,3,No,Valid skip,Yes,Extremely Poor,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Extremely Poor,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,Average,Yes,Average,Yes,I did not receive assistance,Yes,Above Average,Yes,Extremely Poor,Yes,I did not receive assistance,0,Yes,Very Satisfied,Satisfied,Satisfied,Negative comments only,,,Yes,,"Black, African-American, or African",Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,14-AZ-160,Online,20211015,12:01,268,4,268,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,No,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,2,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-292,Online,20211105,16:45,240,4,240,,,12/31/2021,1,Yes,Yes,Below Average,2,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Below Average,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Dissatisfied,Dissatisfied,Dissatisfied,Decline to provide comments,,,No,,White,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-092,Online,20211124,16:58,839,14,839,,,12/31/2021,1,Yes,Yes,Above Average,4,Yes,Yes,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Above Average,Yes,Above Average,No,Valid skip,No,Valid skip,2,Yes,Satisfied,Neither satisfied nor Dissatisfied,Satisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-ZZ-034,Online,20211110,05:17,520,9,520,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,I did not receive assistance,Yes,Excellent,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,I did not receive assistance,Yes,I did not receive assistance,1,Yes,Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-301,Online,20211015,17:04,563,9,563,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-KY-204,Online,20211214,15:06,299,5,304,,,12/31/2021,1,Yes,No,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-MA-211,Online,20211101,17:15,243,4,243,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Other,Transgender Woman,,,'CO': Completed
,14-NY-259,Online,20211130,10:23,393,7,393,,,12/31/2021,2,Yes,Yes,Below Average,2,No,Valid skip,Yes,Average,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,Average,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,Average,Yes,Below Average,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,0,Yes,Satisfied,Satisfied,Satisfied,Positive comments only,,,No,,Choose not to respond,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-TX-141,Online,20211208,21:29,529,9,529,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-SD-136,Online,20211109,19:06,214,4,214,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-026,Online,20211229,11:22,261,4,261,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-292,Online,20211230,17:48,543,9,545,,,12/31/2021,3,Yes,Yes,Average,3,Yes,No,Yes,Above Average,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,Above Average,Yes,Extremely Poor,Yes,Below Average,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-TX-404,Online,20211018,13:16,301,5,301,,,12/31/2021,4+,No,Valid skip,Excellent,5,Yes,Yes,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,2,Yes,Satisfied,Very Satisfied,Satisfied,Positive comments only,,,Yes,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-074,Online,20211209,01:47,248,4,248,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Woman,,,'CO': Completed
,19-MS-111,Online,20211109,18:04,574,10,575,,,12/31/2021,2,Yes,Yes,Average,3,No,Valid skip,Yes,Average,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,Below Average,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,1,No,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Dissatisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-CA-163,Online,20211115,10:13,639,11,640,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Above Average,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Above Average,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Choose not to respond,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,18-CA-176,Online,20211026,23:53,901,15,901,,,12/31/2021,4+,Yes,Yes,Extremely Poor,1,No,Valid skip,Yes,I did not receive case management,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,0,Yes,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Negative comments only,,,Yes,,"Black, African-American, or African",Choose not to respond,I choose not to respond,I choose not to respond,,,'CO': Completed
,19-MN-046,Online,20211202,18:05,242,4,242,,,12/31/2021,1,Yes,No,Extremely Poor,1,No,Valid skip,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,No,Valid skip,No,Valid skip,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,Yes,Extremely Poor,0,Yes,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Decline to provide comments,,,No,,Choose not to respond,Choose not to respond,I choose not to respond,I choose not to respond,,,'CO': Completed
,20-OR-272,Online,20211102,17:31,498,8,498,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Native Hawaiian or Pacific Islander,Non-Hispanic/Non-Latin(a)(o)(x),I choose not to respond,Man,,,'CO': Completed
,21-NC-237,Online,20211211,20:38,243,4,302,,,12/31/2021,1,Yes,No,Above Average,4,Yes,Yes,Yes,Above Average,No,Valid skip,Yes,Above Average,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Average,No,Valid skip,Yes,Above Average,No,Valid skip,No,Valid skip,3+,Yes,Dissatisfied,Dissatisfied,Satisfied,Both positive and negative comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),I choose not to respond,Woman,,,'CO': Completed
,20-OK-065,Online,20211210,18:10,516,9,517,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Excellent,Yes,Excellent,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Above Average,Yes,Above Average,1,Yes,Very Satisfied,Very Dissatisfied,Very Satisfied,Positive comments only,,,No,,White,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,21-TX-074,Online,20211227,18:55,260,4,260,,,12/31/2021,4+,No,Valid skip,Below Average,2,No,Valid skip,Yes,I did not receive case management,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,0,Yes,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Satisfied,Decline to provide comments,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,19-ZZ-127,Online,20211116,17:14,1153,19,1485,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,18-HI-190,Online,20211127,22:40,852,14,852,,,12/31/2021,3,No,Valid skip,Extremely Poor,1,Yes,No,Yes,Above Average,Yes,Average,No,Valid skip,Yes,Below Average,No,Valid skip,No,Valid skip,Yes,Average,Yes,Extremely Poor,No,Valid skip,Yes,Below Average,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,1,No,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Dissatisfied,Both positive and negative comments,,,Yes,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-AK-152,Online,20211105,17:46,625,10,625,,,12/31/2021,2,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,Yes,,White,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,19-ZZ-070,Online,20211027,09:46,201,3,660,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,0,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,21-TX-074,Online,20211126,11:03,931,16,931,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Average,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Average,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Both positive and negative comments,,,Refused,,Refused,Refused,Refused,Refused,,,
,19-AZ-004,Online,20211017,01:00,1679,28,1679,,,12/31/2021,1,Yes,Yes,Below Average,2,No,Valid skip,Yes,Extremely Poor,No,Valid skip,Yes,Extremely Poor,Yes,Extremely Poor,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,Extremely Poor,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Extremely Poor,1,No,Dissatisfied,Dissatisfied,Very Dissatisfied,Negative comments only,,,Yes,,White,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-ZZ-301,Online,20211118,07:46,388,6,388,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Above Average,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,3+,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,19-OH-269,Online,20211018,17:01,298,5,299,,,12/31/2021,2,Yes,Yes,Average,3,No,Valid skip,No,Valid skip,Yes,Below Average,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Neither satisfied nor Dissatisfied,Dissatisfied,Neither satisfied nor Dissatisfied,Both positive and negative comments,,,No,,Choose not to respond,Choose not to respond,I am not sure,Other,,,'CO': Completed
,20-CA-437,Online,20211209,12:17,771,13,771,,,12/31/2021,4+,Yes,Yes,Excellent,5,Yes,No,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,I did not receive assistance,2,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Both positive and negative comments,,,Yes,,Choose not to respond,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,14-FL-184,Online,20211018,17:02,200,3,200,,,12/31/2021,2,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Above Average,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,I did not receive assistance,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,"Black, African-American, or African",Hispanic/Latin(a)(o)(x),Lesbian,Non-binary,,,'CO': Completed
,20-NY-446,Online,20211115,17:12,553,9,553,,,12/31/2021,1,Yes,Yes,Above Average,4,Yes,No,No,Valid skip,No,Valid skip,Yes,Average,Yes,Above Average,Yes,I did not receive assistance,Yes,I did not receive assistance,Yes,Average,Yes,I did not receive assistance,No,Valid skip,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,No,Valid skip,Yes,I did not receive assistance,Yes,I did not receive assistance,0,Yes,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Neither satisfied nor Dissatisfied,Both positive and negative comments,,,No,,Choose not to respond,Choose not to respond,Heterosexual or straight,Man,,,'CO': Completed
,14-TN-285,Online,20211217,14:25,303,5,329,,,12/31/2021,2,Yes,Yes,Below Average,2,No,Valid skip,No,Valid skip,Yes,Average,Yes,Average,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Satisfied,Positive comments only,,,No,,"Black, African-American, or African",Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-OR-272,Online,20211018,19:20,305,5,448,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Multiracial or Biracial,Hispanic/Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-TN-285,Online,20211208,17:08,251,4,252,,,12/31/2021,4+,Yes,No,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,Multiracial or Biracial,Hispanic/Latin(a)(o)(x),Bisexual,Woman,,,'CO': Completed
,12-OH-064,Online,20211123,20:19,875,15,875,,,12/31/2021,4+,No,Valid skip,Above Average,4,Yes,Yes,No,Valid skip,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Above Average,Yes,Above Average,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,19-WA-078,Online,20211213,18:13,264,4,265,,,12/31/2021,1,Yes,Yes,Excellent,5,Yes,Yes,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,0,No,Very Satisfied,Very Satisfied,Very Satisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,14-NY-254,IVR,20211208,13:00,392,7,,'CO': Completed,'CO': Completed,12/31/2021,1,Yes,Yes,Average,3,Yes,Yes,Yes,Above Average,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,1,No,Dissatisfied,Dissatisfied,Dissatisfied,Decline to provide comments,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,'CO': Completed,1,'I0': Interrupted
,13-NY-119,Online,20211210,08:02,458,8,458,,,12/31/2021,1,No,Valid skip,Excellent,5,Yes,Yes,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,Yes,Excellent,No,Valid skip,Yes,Excellent,No,Valid skip,No,Valid skip,Yes,Excellent,Yes,Excellent,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Excellent,1,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Positive comments only,,,No,,White,Non-Hispanic/Non-Latin(a)(o)(x),Heterosexual or straight,Man,,,'CO': Completed
,20-NV-056,Online,20211109,13:10,406,7,406,,,12/31/2021,1,Yes,Yes,Above Average,4,Yes,No,Yes,Above Average,Yes,Average,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,No,Valid skip,Yes,Average,Yes,Average,Yes,Average,No,Valid skip,No,Valid skip,1,No,Satisfied,Satisfied,Neither satisfied nor Dissatisfied,Positive comments only,,,No,,Asian or Asian American,Choose not to respond,I choose not to respond,Man,,,'CO': Completed
